id,Aspect_terms,Opinion_terms,sen_content
1,_,_,
2,_,_,
3,_,_,
4,_,_,
5,_,_,
6,_,_,
7,_,_,
8,_,_,
9,_,_,
10,_,_,
11,_,_,
12,_,_,
13,_,_,
14,_,_,
15,_,_,
16,_,_,
17,_,_,
18,_,_,
19,_,_,
20,_,_,
21,_,_,
22,_,_,
23,_,_,
24,_,_,
25,_,_,
26,_,_,
27,_,_,
28,_,_,
29,_,_,
30,_,_,
31,_,_,
32,_,_,
33,_,_,
34,_,_,
35,_,_,
36,_,_,
37,_,_,
38,_,_,
39,_,_,
40,_,_,
41,_,_,
42,_,_,
43,_,_,
44,_,_,
45,_,_,
46,_,_,
47,_,_,
48,_,_,
49,_,_,
50,_,_,
51,_,_,
52,_,_,
53,_,_,
54,_,_,
55,_,_,
56,_,_,
57,_,_,
58,_,_,
59,_,_,
60,_,_,
61,_,_,
62,_,_,
63,_,_,
64,_,_,
65,_,_,
66,_,_,
67,_,_,
68,_,_,
69,_,_,
70,_,_,
71,_,_,
72,_,_,
73,_,_,
74,_,_,
75,_,_,
76,_,_,
77,_,_,
78,_,_,
79,_,_,
80,_,_,
81,_,_,
82,_,_,
83,_,_,
84,_,_,
85,_,_,
86,_,_,
87,_,_,
88,_,_,
89,_,_,
90,_,_,
91,_,_,
92,_,_,
93,_,_,
94,_,_,
95,_,_,
96,_,_,
97,_,_,
98,_,_,
99,_,_,
100,_,_,
101,_,_,
102,_,_,
103,_,_,
104,_,_,
105,_,_,
106,_,_,
107,_,_,
108,_,_,
109,_,_,
110,_,_,
111,_,_,
112,_,_,
113,_,_,
114,_,_,
115,_,_,
116,_,_,
117,_,_,
118,_,_,
119,_,_,
120,_,_,
121,_,_,
122,_,_,
123,_,_,
124,_,_,
125,_,_,
126,_,_,
127,_,_,
128,_,_,
129,_,_,
130,_,_,
131,_,_,
132,_,_,
133,_,_,
134,_,_,
135,_,_,
136,_,_,
137,_,_,
138,_,_,
139,_,_,
140,_,_,
141,_,_,
142,_,_,
143,_,_,
144,_,_,
145,_,_,
146,_,_,
147,_,_,
148,_,_,
149,_,_,
150,_,_,
151,_,_,
152,_,_,
153,_,_,
154,_,_,
155,_,_,
156,_,_,
157,_,_,
158,_,_,
159,_,_,
160,_,_,
161,_,_,
162,_,_,
163,_,_,
164,_,_,
165,_,_,
166,_,_,
167,_,_,
168,_,_,
169,_,_,
170,_,_,
171,_,_,
172,_,_,
173,_,_,
174,_,_,
175,_,_,
176,_,_,
177,_,_,
178,_,_,
179,_,_,
180,_,_,
181,_,_,
182,_,_,
183,_,_,
184,_,_,
185,_,_,
186,_,_,
187,_,_,
188,_,_,
189,_,_,
190,_,_,
191,_,_,
192,_,_,
193,_,_,
194,_,_,
195,_,_,
196,_,_,
197,_,_,
198,_,_,
199,_,_,
200,_,_,
201,_,_,
202,_,_,
203,_,_,
204,_,_,
205,_,_,
206,_,_,
207,_,_,
208,_,_,
209,_,_,
210,_,_,
211,_,_,
212,_,_,
213,_,_,
214,_,_,
215,_,_,
216,_,_,
217,_,_,
218,_,_,
219,_,_,
220,_,_,
221,_,_,
222,_,_,
223,_,_,
224,_,_,
225,_,_,
226,_,_,
227,_,_,
228,_,_,
229,_,_,
230,_,_,
231,_,_,
232,_,_,
233,_,_,
234,_,_,
235,_,_,
236,_,_,
237,_,_,
238,_,_,
239,_,_,
240,_,_,
241,_,_,
242,_,_,
243,_,_,
244,_,_,
245,_,_,
246,_,_,
247,_,_,
248,_,_,
249,_,_,
250,_,_,
251,_,_,
252,_,_,
253,_,_,
254,_,_,
