id,Aspect_terms,Opinion_terms,sen_content
1,画质,清晰,画质清晰，网速很快，吃鸡不卡，真的不错。携带方便。
1,网速,很快,画质清晰，网速很快，吃鸡不卡，真的不错。携带方便。
1,吃鸡,不卡,画质清晰，网速很快，吃鸡不卡，真的不错。携带方便。
1,携带,方便,画质清晰，网速很快，吃鸡不卡，真的不错。携带方便。
1,_,不错,画质清晰，网速很快，吃鸡不卡，真的不错。携带方便。
2,物流速度,很棒,物流速度很棒呦，包装也很好
2,包装,很好,物流速度很棒呦，包装也很好
3,_,挺好看,电脑挺好看的，就是有点慢，还有点卡，没有想象中那么好，
3,_,是有点慢,电脑挺好看的，就是有点慢，还有点卡，没有想象中那么好，
3,_,有点卡,电脑挺好看的，就是有点慢，还有点卡，没有想象中那么好，
3,_,那么好,电脑挺好看的，就是有点慢，还有点卡，没有想象中那么好，
4,游戏,不卡,反正娃最喜欢吃鸡，玩这游戏不卡，目前已经用了好几天，总体还不错。
4,吃鸡,最喜欢,反正娃最喜欢吃鸡，玩这游戏不卡，目前已经用了好几天，总体还不错。
4,_,反正,反正娃最喜欢吃鸡，玩这游戏不卡，目前已经用了好几天，总体还不错。
4,_,还不错,反正娃最喜欢吃鸡，玩这游戏不卡，目前已经用了好几天，总体还不错。
5,外观,好看,宝贝收到了，非常惊喜，外观好看，开机速度快，运行流畅，五星好评
5,开机速度,快,宝贝收到了，非常惊喜，外观好看，开机速度快，运行流畅，五星好评
5,运行,五星好评,宝贝收到了，非常惊喜，外观好看，开机速度快，运行流畅，五星好评
5,_,非常惊,宝贝收到了，非常惊喜，外观好看，开机速度快，运行流畅，五星好评
6,包装,特别严实,包装特别严实，外观设计有档次。用起来特别流畅，按键灵活。这个价格真心不错
6,，按键,灵活,包装特别严实，外观设计有档次。用起来特别流畅，按键灵活。这个价格真心不错
6,价格,真心不错,包装特别严实，外观设计有档次。用起来特别流畅，按键灵活。这个价格真心不错
6,外观设计,_,包装特别严实，外观设计有档次。用起来特别流畅，按键灵活。这个价格真心不错
6,_,特别流畅,包装特别严实，外观设计有档次。用起来特别流畅，按键灵活。这个价格真心不错
7,反应,挺快,放暑假了，买来送孩子的礼物，正好学习也用得上。孩子很喜欢，说反应挺快。
7,_,物，正好,放暑假了，买来送孩子的礼物，正好学习也用得上。孩子很喜欢，说反应挺快。
