,id,id,Aspect_terms,Opinion_terms,Categories,Polarities
0,1,1,画质,清晰,硬件&性能,正面
1,1,1,网速,很快,硬件&性能,正面
2,1,1,吃鸡,不卡,使用场景,正面
3,1,1,携带,方便,外观,正面
4,1,1,_,不错,整体,正面
5,2,2,物流速度,很棒,物流,正面
6,2,2,包装,很好,包装,正面
7,3,3,_,挺好看,外观,正面
8,3,3,_,是有点慢,外观,负面
9,3,3,_,有点卡,硬件&性能,负面
10,3,3,_,那么好,整体,负面
11,4,4,游戏,不卡,使用场景,正面
12,4,4,吃鸡,最喜欢,整体,正面
13,4,4,_,反正,硬件&性能,正面
14,4,4,_,还不错,整体,正面
15,5,5,外观,好看,外观,正面
16,5,5,开机速度,快,硬件&性能,正面
17,5,5,运行,五星好评,硬件&性能,正面
18,5,5,_,非常惊,整体,正面
19,6,6,包装,特别严实,包装,正面
20,6,6,，按键,灵活,硬件&性能,负面
21,6,6,价格,真心不错,价格,负面
22,6,6,外观设计,_,外观,正面
23,6,6,_,特别流畅,硬件&性能,负面
24,7,7,反应,挺快,硬件&性能,正面
25,7,7,_,物，正好,价格,正面
26,7,7,_,很喜欢,整体,正面
27,8,8,包裹,很严实,包装,正面
28,8,8,_,非常好,整体,正面
29,8,8,时间,_,硬件&性能,正面
30,8,8,_,太喜欢,整体,正面
31,9,9,开机,快,硬件&性能,正面
32,9,9,运行,流畅,硬件&性能,正面
33,9,9,玩大游戏,一点不卡顿,使用场景,正面
34,9,9,质量,很好,整体,正面
35,9,9,_,非常满意,整体,正面
36,10,10,系统,挺流畅,软件&性能,正面
37,10,10,外观,挺好看,外观,正面
38,10,10,_,挺爽,整体,正面
39,10,10,_,很喜欢，满意,整体,正面
40,11,11,屏幕,很精致,外观,正面
41,11,11,声音,清晰,硬件&性能,正面
42,11,11,运行速度,快,硬件&性能,正面
43,11,11,价格,低廉,价格,负面
44,11,11,外观,_,外观,正面
45,11,11,开机,_,硬件&性能,正面
46,12,12,_,不错,整体,正面
47,12,12,键错,_,整体,正面
48,13,13,包装,完好,包装,正面
49,13,13,质量,非常好,整体,正面
50,13,13,做工,好,外观,正面
51,13,13,显卡速度,快,硬件&性能,正面
52,13,13,影像,清晰,硬件&性能,正面
53,13,13,携带,方便,外观,正面
54,13,13,外观材质,_,外观,正面
55,13,13,_,很实用,整体,正面
56,14,14,玩游戏,流畅,使用场景,正面
57,14,14,画面,清晰,硬件&性能,正面
58,14,14,_,，满意,整体,正面
59,15,15,速度,不差,硬件&性能,负面
60,15,15,_,良好,整体,正面
61,16,16,_,垃圾,整体,负面
62,17,17,_,很好,整体,正面
63,17,17,_,很不错,整体,正面
64,18,18,_,很不错,整体,正面
65,18,18,_,很喜欢,整体,正面
66,19,19,性价比,挺高,价格,正面
67,19,19,包装,很严密,包装,正面
68,19,19,_,很顺畅,硬件&性能,正面
69,20,20,开机,快,硬件&性能,正面
70,21,21,手感,超级好,外观,正面
71,21,21,_,很漂亮,外观,正面
72,21,21,_,有点卡,硬件&性能,负面
73,22,22,_,很喜欢,整体,正面
74,23,23,性能,非常棒,硬件&性能,负面
75,23,23,打游戏,非常流畅,使用场景,正面
76,23,23,_,喜欢,整体,负面
77,23,23,_,好评,整体,负面
78,24,24,_,的卡,硬件&性能,负面
79,24,24,_,仅供,外观,负面
80,25,25,,就这样吧！,整体,负面
81,26,26,价格,合适,价格,正面
82,26,26,玩游戏,不卡机,使用场景,正面
83,26,26,外观,大气,外观,正面
84,27,27,画面,清晰,硬件&性能,正面
85,27,27,操作,流畅，满意,使用场景,正面
86,28,28,外观,凑合,外观,正面
87,28,28,_,的是太低，根,硬件&性能,负面
88,28,28,_,没法用,其他,负面
89,29,29,玩游戏,一点也不卡,使用场景,正面
90,29,29,外观,好看,外观,正面
91,29,29,携带,方便,外观,正面
92,29,29,价格,非常实惠,价格,正面
93,29,29,上网,挺快,使用场景,正面
94,29,29,大小,_,外观,正面
95,30,30,性能,挺好的,硬件&性能,正面
96,30,30,价格,实惠,价格,正面
97,30,30,外观,很新,外观,正面
98,30,30,性价比,高,价格,正面
99,31,31,运行速度,很快,硬件&性能,正面
100,31,31,游戏画面,很清晰,硬件&性能,正面
101,31,31,样式,喜欢,外观,正面
102,31,31,性能,_,硬件&性能,正面
103,31,31,_,一点都不卡,硬件&性能,正面
104,31,31,_,卡,硬件&性能,正面
105,31,31,外观材质,_,外观,正面
106,31,31,做工,_,外观,正面
107,32,32,_,太沉了,整体,中性
108,33,33,屏幕,有亮点,硬件&性能,负面
109,33,33,质量,_,整体,负面
110,34,34,性价比,高,价格,正面
111,34,34,外观,很难看,外观,正面
112,34,34,运行速度,很快,硬件&性能,正面
113,34,34,_,经脏,其他,负面
114,35,35,_,降价,价格,负面
115,36,36,_,请退差,整体,负面
116,37,37,_,有杂音,硬件&性能,正面
117,37,37,_,按咔咔响,硬件&性能,正面
118,38,38,性能,算流畅,硬件&性能,正面
119,38,38,外观材质,_,外观,正面
120,38,38,_,很舒服，,整体,正面
121,38,38,_,好看,外观,正面
122,38,38,_,，可以,整体,正面
123,39,39,_,挺流畅不错,硬件&性能,正面
124,40,40,运行速度,快,硬件&性能,正面
125,40,40,外观,挺新的,外观,正面
126,40,40,价格,很实惠,价格,正面
127,41,41,风扇,声太大,硬件&性能,负面
128,41,41,_,失望,整体,负面
129,42,42,_,不错,整体,正面
130,42,42,_,很好,整体,正面
131,43,43,_,还不错,整体,正面
132,43,43,_,好评,整体,正面
133,44,44,_,很少,整体,负面
134,45,45,_,经常无缘无故黑屏,硬件&性能,负面
135,46,46,开机速度,非常快,硬件&性能,正面
136,46,46,发货速度,很快,物流,正面
137,46,46,运作,很流畅,物流,正面
138,46,46,_,物美价廉,价格,正面
139,46,46,_,非常好,整体,正面
140,47,47,_,很牛批了,硬件&性能,负面
141,48,48,屏幕分辨率,彩不行,硬件&性能,负面
142,49,49,画质,清晰,硬件&性能,正面
143,49,49,携带,比较流畅,外观,正面
144,49,49,性能,_,硬件&性能,正面
145,49,49,_,很满意,整体,正面
146,50,50,_,黑屏,硬件&性能,负面
147,51,51,性能,挺好,硬件&性能,正面
148,51,51,显卡效果,挺快,硬件&性能,正面
149,51,51,外观材质,挺好，满意,外观,正面
150,52,52,_,大大大,硬件&性能,负面
151,52,52,_,大,外观,负面
152,52,52,_,差评,整体,负面
153,52,52,客服态度,_,服务,负面
154,52,52,_,最大差评,整体,负面
155,53,53,屏幕,不亮,硬件&性能,负面
156,53,53,_,挺好的,整体,正面
157,53,53,_,黑屏,硬件&性能,负面
158,53,53,_,是不行,整体,负面
159,54,54,音响破音,_,硬件&性能,负面
160,55,55,售后,不行,服务,正面
161,56,56,_,非常满意,整体,正面
162,57,57,_,出现,硬件&性能,负面
163,57,57,_,黑屏,硬件&性能,负面
164,57,57,_,蓝屏,硬件&性能,负面
165,58,58,上网,快,使用场景,正面
166,58,58,外观,漂亮,外观,正面
167,58,58,_,音质,硬件&性能,正面
168,58,58,_,不错,整体,正面
169,59,59,速度,很流畅,硬件&性能,负面
170,59,59,_,不卡,硬件&性能,负面
171,60,60,客服服务,很好,服务,正面
172,60,60,_,很nice,整体,正面
173,60,60,_,不错,整体,正面
174,61,61,送货,快,物流,正面
175,61,61,包装,好,包装,正面
176,61,61,操作,流畅,软件&性能,正面
177,61,61,反应,非常快,硬件&性能,正面
178,61,61,功能,慢,真伪,正面
179,61,61,系统,_,包装,正面
180,61,61,风扇静音,_,硬件&性能,负面
181,62,62,内存,大,硬件&性能,正面
182,62,62,运程,很快,硬件&性能,正面
183,63,63,性能,不错,硬件&性能,正面
184,63,63,运行,很快,硬件&性能,正面
185,63,63,_,满意,整体,正面
186,64,64,质量,很好,整体,正面
187,64,64,速度,很快,硬件&性能,正面
188,64,64,_,很养眼,整体,正面
189,64,64,_,不错,整体,正面
190,64,64,_,真心喜欢,整体,正面
191,65,65,款式,时尚,外观,正面
192,65,65,打游戏,不卡顿,使用场景,正面
193,65,65,配置,不错,硬件&性能,正面
194,65,65,_,小巧方便携带,外观,正面
195,65,65,_,很满意,整体,正面
196,66,66,反应,很快,硬件&性能,正面
197,66,66,_,特别好,整体,负面
198,66,66,_,很喜欢,整体,正面
199,67,67,_,有点后悔,外观,负面
200,68,68,_,买早了,价格,负面
201,69,69,_,不释手了,硬件&性能,负面
202,70,70,_,很不愉,整体,负面
203,71,71,运行速度,不错,硬件&性能,正面
204,71,71,_,超薄,外观,正面
205,71,71,性能,_,硬件&性能,正面
206,71,71,_,满意,整体,正面
207,72,72,_,死机,硬件&性能,负面
208,73,73,外观材质,高端大气上档次,外观,正面
209,73,73,客服,很热情,服务,正面
210,73,73,_,好评,整体,正面
211,74,74,_,挺不错的,整体,正面
212,75,75,外观,很好看,外观,正面
213,75,75,反应,不卡,硬件&性能,负面
214,75,75,_,很喜欢,整体,正面
215,75,75,_,很轻便,外观,正面
216,75,75,_,，很满意,整体,正面
217,76,76,_,挺好的,整体,正面
218,76,76,_,没翻车,真伪,正面
219,77,77,做资料,挺好,整体,负面
220,77,77,_,不错,整体,负面
221,77,77,_,物超所值,价格,正面
222,78,78,质量,特别好,整体,正面
223,78,78,玩游戏,一点不卡,使用场景,正面
224,78,78,界面,非常清晰,硬件&性能,正面
225,79,79,显示卡效果,很棒,硬件&性能,正面
226,79,79,材质,非常好,外观,正面
227,79,79,外观,很不错,外观,正面
228,79,79,性能,_,硬件&性能,正面
229,80,80,_,差评,整体,负面
230,81,81,手感,还行,外观,正面
231,81,81,屏幕清晰度,不错,硬件&性能,正面
232,81,81,发热,_,硬件&性能,负面
233,81,81,散热,_,硬件&性能,负面
234,82,82,运行速度,出其意,硬件&性能,正面
235,82,82,性价比,_,价格,正面
236,82,82,_,不亏,其他,负面
237,83,83,物流,很快,物流,正面
238,83,83,_,不错,整体,正面
239,83,83,_,很漂亮,外观,正面
240,84,84,质量,很好,整体,正面
241,84,84,画面,清晰,硬件&性能,正面
242,84,84,运行,流畅,硬件&性能,正面
243,84,84,外观,小巧精致,外观,正面
244,84,84,方面,非常满意,整体,正面
245,84,84,_,携带,外观,正面
246,85,85,质量,_,整体,负面
247,86,86,开机速度,挺快,硬件&性能,正面
248,86,86,_,还好,整体,正面
249,87,87,打游戏,卡,使用场景,正面
250,87,87,客服根,本解决,服务,负面
251,88,88,价格,_,价格,负面
252,88,88,_,降价,价格,负面
253,88,88,_,保价,价格,负面
254,89,89,物流,很快,物流,正面
255,90,90,_,什么,整体,负面
256,90,90,_,差评,整体,负面
257,91,91,反应,快,硬件&性能,正面
258,91,91,内存,大,硬件&性能,正面
259,91,91,_,不卡,硬件&性能,正面
260,91,91,_,满意,整体,正面
261,92,92,_,挺满意,整体,负面
262,93,93,电池,不耐用,硬件&性能,负面
263,93,93,_,很快,硬件&性能,负面
264,94,94,价格,不贵,价格,负面
265,95,95,_,很好,整体,正面
266,95,95,_,很喜欢,整体,正面
267,95,95,_,很适,整体,正面
268,96,96,_,不错,整体,正面
269,96,96,_,很顺，感,硬件&性能,正面
270,96,96,_,很灵活，小巧,外观,正面
271,96,96,_,方便出差,整体,正面
272,97,97,画质,很清晰,硬件&性能,正面
273,97,97,运行,很流畅,硬件&性能,正面
274,97,97,_,挺好,整体,正面
275,97,97,_,特别满意,整体,正面
276,98,98,物流,很快,物流,正面
277,98,98,性价比,高,价格,正面
278,98,98,运行,流畅,硬件&性能,正面
279,99,99,_,圾，什么都不送,硬件&性能,负面
280,100,100,质量,挺好,整体,正面
281,100,100,价格,实惠,价格,正面
282,100,100,用效果,不错,整体,正面
283,100,100,_,非常满意,整体,正面
284,101,101,看视频风扇声音,_,硬件&性能,负面
285,101,101,_,会爆炸,硬件&性能,负面
286,102,102,屏幕,很清晰,硬件&性能,正面
287,102,102,_,方便,整体,正面
288,102,102,_,非常满意,整体,正面
289,103,103,质量,很好,整体,正面
290,103,103,散热,很快,硬件&性能,正面
291,103,103,成色,_,外观,正面
292,103,103,_,很舒畅，不错,硬件&性能,正面
293,103,103,_,物流,价格,正面
294,103,103,_,超快,硬件&性能,正面
295,104,104,_,有点卡,硬件&性能,负面
296,105,105,性能,很好,硬件&性能,正面
297,106,106,_,黑了,硬件&性能,负面
298,107,107,外观,很好看,外观,正面
299,107,107,性价比,超高,价格,正面
300,107,107,_,很好,整体,正面
301,108,108,_,黑屏,硬件&性能,负面
302,108,108,_,闪屏,硬件&性能,负面
303,109,109,_,降价,价格,负面
304,110,110,屏幕,很清晰,硬件&性能,正面
305,110,110,看电视看电影,一点都不卡,使用场景,正面
306,110,110,价格,不贵,价格,正面
307,110,110,_,好评,整体,正面
308,111,111,看个视频,卡,使用场景,负面
309,112,112,性能,好,硬件&性能,正面
310,112,112,显卡效果,清晰,硬件&性能,正面
311,112,112,网速,流畅,硬件&性能,正面
312,113,113,_,挺满意,整体,正面
313,113,113,fice,_,整体,负面
314,113,113,发热,_,硬件&性能,负面
315,114,114,_,卡的要死,硬件&性能,负面
316,115,115,_,很满意,整体,正面
317,116,116,运行,非常快,硬件&性能,正面
318,116,116,画面,高清,硬件&性能,正面
319,116,116,_,很薄,外观,正面
320,117,117,_,降价,价格,负面
321,118,118,性能,不错,硬件&性能,正面
322,119,119,_,一般,整体,中性
323,120,120,玩游戏,流畅,使用场景,正面
324,120,120,显示屏,清晰,硬件&性能,正面
325,120,120,性价比,高,价格,正面
326,120,120,_,不错,整体,正面
327,121,121,_,挺好,整体,正面
328,121,121,_,好评,整体,正面
329,122,122,性能,很强，,硬件&性能,正面
330,122,122,外观,时尚,外观,正面
331,122,122,质量,很好,整体,正面
332,122,122,屏幕,清大,硬件&性能,正面
333,122,122,_,轻便,外观,正面
334,122,122,_,很满意,整体,正面
335,123,123,_,不错,整体,正面
336,123,123,_,降价,价格,负面
337,123,123,_,太短了,真伪,正面
338,124,124,_,非常适合,整体,正面
339,125,125,价格,很实惠,价格,正面
340,125,125,_,还可以,整体,正面
341,126,126,客服,不错,服务,负面
342,127,127,性价比,高,价格,正面
343,127,127,_,不错,整体,正面
344,127,127,_,方便携带,外观,正面
345,128,128,质量,很好,整体,正面
346,128,128,物流,很快,物流,正面
347,128,128,_,正品,真伪,正面
348,129,129,外观塑料感太强，塑料,很软,硬件&性能,负面
349,129,129,屏幕,_,硬件&性能,负面
350,130,130,_,很满意,整体,正面
351,130,130,_,物美价廉,价格,正面
352,131,131,质量,很好,整体,正面
353,131,131,做工,精致,外观,正面
354,131,131,运行速度,快,硬件&性能,正面
355,131,131,外观,_,外观,正面
356,131,131,_,很满意,整体,正面
357,132,132,,体验糟糕，买回来就坏了，又换货花了5天时间，我真是服了，呵呵，厉害了我的**,整体,负面
358,133,133,价格,便宜,价格,正面
359,133,133,质量,不错,整体,正面
360,133,133,上网速度,物美价,物流,正面
361,134,134,_,很过,整体,负面
362,134,134,_,还可以,整体,正面
363,134,134,价格,_,价格,负面
364,134,134,接受不了，,_,硬件&性能,负面
365,135,135,,没几天降了10%只能给个差评缓解一下情,整体,负面
366,136,136,配置,什么的都可以,硬件&性能,正面
367,136,136,速度,很快,硬件&性能,正面
368,136,136,散热,稍微差点,硬件&性能,负面
369,136,136,_,挺好的,整体,正面
370,137,137,网速,非常快,硬件&性能,正面
371,137,137,_,什么的都可以,整体,正面
372,137,137,_,最喜欢,整体,正面
373,137,137,_,非常满意,整体,正面
374,138,138,外观,时尚漂亮,外观,正面
375,138,138,质量,不错,整体,正面
376,138,138,运行速度,快,硬件&性能,正面
377,138,138,_,轻薄,外观,正面
378,138,138,_,不卡顿,硬件&性能,正面
379,138,138,_,挺满意,整体,正面
380,139,139,_,非常不满意,整体,正面
381,140,140,_,不错,整体,正面
382,141,141,_,比想象中,整体,负面
383,142,142,_,一般般,整体,中性
384,142,142,待机时间,_,硬件&性能,负面
385,143,143,ooood,_,整体,中性
386,144,144,风扇噪,_,硬件&性能,负面
