id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
1,价位,7,9,非常给力,9,13,价格,正面
1,客服,15,17,非常有耐心,18,23,服务,正面
2,_, , ,开不了机了,8,13,硬件&性能,负面
3,客服,9,11,不给解决,12,16,服务,负面
4,性能,2,4,强,4,5,硬件&性能,正面
4,玩游戏,6,9,不带卡,9,12,使用场景,正面
4,手感,16,18,很好,18,20,外观,正面
4,_, , ,很顺,21,23,硬件&性能,正面
5,屏显,0,2,真的差劲,2,6,硬件&性能,负面
6,外观,0,2,好看,2,4,外观,正面
6,画面,5,7,清晰,7,9,硬件&性能,正面
6,上网网速,10,14,快,14,15,硬件&性能,正面
7,性能,2,4,很满意,5,8,硬件&性能,正面
7,连上网络,8,12,不卡顿,12,15,使用场景,正面
7,_, , ,比较好,16,19,整体,正面
7,速度,20,22,快,23,24,硬件&性能,正面
7,显示效果,30,34,很不错,35,38,硬件&性能,正面
7,小礼品,54,57,_, , ,价格,正面
8,打lol,5,9,卡,10,11,使用场景,负面
8,_, , ,不怎么好,0,4,整体,负面
9,_, , ,挺薄的,2,5,外观,正面
9,性能,6,8,ok,9,11,硬件&性能,正面
9,开机,12,14,快,14,15,硬件&性能,正面
10,_, , ,轻薄,0,2,外观,正面
10,显示器,3,6,淡,9,10,硬件&性能,负面
10,速度,11,13,正常,13,15,硬件&性能,正面
10,_, , ,好评,16,18,整体,正面
11,_, , ,很薄,2,4,外观,正面
11,运行的速度,5,10,非常快,10,13,硬件&性能,正面
11,价格,14,16,合理,16,18,价格,正面
12,办公CAD,8,13,没法用,20,23,使用场景,负面
12,广联达,14,17,没法用,20,23,使用场景,负面
12,_, , ,太不适用了,30,35,整体,负面
13,性比价,2,5,非常高,5,8,价格,正面
13,玩游戏,9,12,一点也不卡,12,17,使用场景,正面
13,分辨率,18,21,很高,21,23,硬件&性能,正面
13,价格,24,26,合理,26,28,价格,正面
13,卖家服务态度,29,35,好,35,36,服务,正面
14,_, , ,超级棒,2,5,整体,正面
14,_, , ,特别好用,7,11,整体,正面
15,物流,0,2,快,2,3,物流,正面
15,办公,4,6,很好,6,8,使用场景,正面
15,_, , ,很喜欢,9,12,整体,正面
16,风扇,0,2,声音太大,2,6,硬件&性能,负面
17,_, , ,降价,5,7,价格,负面
17,_, , ,不能保价,12,16,价格,负面
18,_, , ,很棒,0,2,整体,正面
18,外观,3,5,超酷,7,9,外观,正面
18,_, , ,爱了,10,12,整体,正面
19,_, , ,不错,0,2,整体,正面
19,_, , ,好用,9,11,整体,正面
20,_, , ,非常好看,14,18,外观,正面
20,性能,19,21,还行,21,23,硬件&性能,正面
20,_, , ,还是很值的,28,33,价格,正面
21,_, , ,还没开好机,9,14,硬件&性能,负面
22,_, , ,充不了电,9,13,硬件&性能,负面
22,品质,18,20,真的服了,23,27,整体,负面
23,_, , ,还不错,0,3,整体,正面
24,_, , ,一点也不卡,11,16,硬件&性能,正面
24,_, , ,顺畅,17,19,硬件&性能,正面
25,键盘,6,8,很灵敏,8,11,硬件&性能,正面
25,玩游戏,14,17,非常好,17,20,使用场景,正面
26,配置,0,2,可以,2,4,硬件&性能,正面
26,外壳,14,16,较簿,16,18,外观,负面
26,外壳,14,16,廉价感十足,20,25,外观,负面
27,显示屏,0,3,用过,6,8,硬件&性能,负面
27,卖家服务,10,14,差,14,15,服务,负面
28,客服,44,46,爱理不理的,47,52,服务,负面
28,_, , ,降价,27,29,价格,负面
29,_, , ,不错,7,9,整体,正面
29,_, , ,很好,10,12,整体,正面
29,速度,13,15,很快,16,18,硬件&性能,正面
29,_, , ,不卡,19,21,硬件&性能,正面
30,_, , ,没有网线接口,5,11,硬件&性能,负面
31,_, , ,还不错,6,9,整体,正面
31,反应,10,12,快,12,13,硬件&性能,正面
31,存储空间,13,17,挺大的,17,20,硬件&性能,正面
31,价格,22,24,不贵,24,26,价格,正面
32,_, , ,又降价,19,22,价格,负面
33,_, , ,很重,10,12,外观,负面
34,_, , ,降价,7,9,价格,负面
34,退货,11,13,拖拖拉拉的,15,20,服务,负面
35,_, , ,非常棒,0,3,整体,正面
36,外观,5,7,完美,7,9,外观,正面
36,运行,11,13,很快,13,15,硬件&性能,正面
36,图像,16,18,很清晰,18,21,硬件&性能,正面
36,_, , ,好评,22,24,整体,正面
37,_, , ,这么好,12,15,整体,正面
37,运行,21,23,很快,23,25,硬件&性能,正面
37,内存,26,28,也够,28,30,硬件&性能,正面
37,_, , ,物美价廉,34,38,价格,正面
38,_, , ,挺满意的,1,5,整体,正面
38,价格,11,13,这么实惠,6,10,价格,正面
38,_, , ,没有失望,20,24,整体,正面
38,赠品,27,29,有,26,27,价格,正面
39,开机速度,5,9,快,9,10,硬件&性能,正面
39,外观材质,11,15,九成,16,18,外观,正面
39,_, , ,还行,20,22,整体,正面
39,价格,25,27,值,27,28,价格,正面
40,外观,16,18,精美,13,15,外观,正面
40,镜面,23,25,超级薄,19,22,外观,正面
40,网速,26,28,快,28,29,硬件&性能,正面
40,使用,29,31,得心应手,33,37,使用场景,正面
40,质量,38,40,真的好,40,43,整体,正面
40,价格,44,46,实惠,46,48,价格,正面
40,_, , ,很满意,48,51,整体,正面
41,_, , ,问了问题都不回答,5,13,服务,负面
42,材质,5,7,很好,7,9,外观,正面
42,_, , ,满意,11,13,整体,正面
42,质量,13,15,不错,15,17,整体,正面
42,画面,19,21,清晰,21,23,硬件&性能,正面
42,画面,19,21,流畅,25,27,硬件&性能,正面
42,整体效果,27,31,好,31,32,整体,正面
43,_, , ,特别好,2,5,整体,正面
43,上网,6,8,特别方便,9,13,使用场景,正面
44,_, , ,严重差评,0,4,整体,负面
44,_, , ,大大差评,5,9,整体,负面
45,外观,2,4,漂亮,4,6,外观,正面
45,手感,7,9,很有质感,9,13,外观,正面
45,内存,14,16,大,16,17,硬件&性能,正面
45,速度,17,19,快,19,20,硬件&性能,正面
45,价格,21,23,很实惠,23,26,价格,正面
45,发货物流,27,31,很快,31,33,物流,正面
45,_, , ,很满意,34,37,整体,正面
46,_, , ,不怎么好,4,8,整体,负面
46,游戏,9,11,玩不了,11,14,使用场景,负面
46,听个酷狗音乐,20,26,卡死,28,30,使用场景,负面
47,外观材质,0,4,挺好,5,7,外观,正面
48,外观,0,2,小巧精美,2,6,外观,正面
48,外观,0,2,超薄,7,9,外观,正面
48,运行速度,10,14,很快,14,16,硬件&性能,正面
48,性价比,17,20,很高,20,22,价格,正面
49,画质,5,7,一般,7,9,硬件&性能,中性
49,画质,5,7,有点卡白,9,13,硬件&性能,负面
49,用模拟器,14,18,很卡,18,20,使用场景,负面
49,_, , ,还行,23,25,整体,正面
50,_, , ,真的好,0,3,整体,正面
50,_, , ,正品,4,6,真伪,正面
50,客服小哥哥,7,12,很好,14,16,服务,正面
51,物流,0,2,很快,2,4,物流,正面
52,质量,0,2,挺好的,2,5,整体,正面
52,网速,6,8,很快,8,10,硬件&性能,正面
52,外观,11,13,漂亮,13,15,外观,正面
52,_, , ,便宜,20,22,价格,正面
53,质量,16,18,不错,18,20,整体,正面
53,外型,21,23,好看,23,25,外观,正面
53,价钱,26,28,实在,28,30,价格,正面
54,性能,0,2,很好,2,4,硬件&性能,正面
54,显卡效果,5,9,棒,9,10,硬件&性能,正面
54,网速,11,13,快,13,14,硬件&性能,正面
54,_, , ,不卡顿,14,17,硬件&性能,正面
54,外观,18,20,漂亮,20,22,外观,正面
