id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
1,发货速度,9,13,挺快,13,15,物流,正面
2,卸妆,0,2,很干净,2,5,功效,正面
2,_, , ,温和,5,7,使用体验,正面
2,_, , ,不刺激,7,10,使用体验,正面
2,_, , ,滑滑的,14,17,使用体验,正面
2,_, , ,舒服,18,20,使用体验,正面
3,_, , ,便宜,16,18,价格,正面
4,刀片,1,3,没法用,3,6,其他,负面
4,_, , ,刮不下来,6,10,功效,负面
5,_, , ,太快了,9,12,物流,正面
6,_, , ,好用,11,13,整体,正面
7,_, , ,很小,13,15,尺寸,负面
8,味道,0,2,很不错,2,5,气味,正面
8,_, , ,好用,26,28,整体,正面
9,价格,0,2,实惠,2,4,价格,正面
9,质量,5,7,好,7,8,整体,正面
9,样子,9,11,简单,12,14,其他,正面
9,_, , ,喜欢,15,17,整体,正面
10,_, , ,可以,4,6,整体,正面
11,价格,2,4,越来越高了,8,13,价格,负面
12,_, , ,还行,24,26,整体,中性
13,物流,0,2,很快,2,4,物流,正面
14,_, , ,比较滋润,28,32,使用体验,正面
15,_, , ,有问题,2,5,整体,负面
16,_, , ,挺好用的,0,4,整体,正面
16,_, , ,清爽,5,7,使用体验,正面
16,_, , ,不粘腻,7,10,使用体验,正面
17,补水,4,6,不错,6,8,功效,正面
18,_, , ,很好,8,10,整体,正面
19,_, , ,不错,0,2,整体,正面
20,保湿,3,5,比较保湿,6,10,功效,正面
21,_, , ,真的很好用,6,11,整体,正面
21,质量,23,25,很好,25,27,整体,正面
21,_, , ,不会起球,30,34,使用体验,正面
21,_, , ,满意,35,37,整体,正面
22,补水效果,15,19,很好,19,21,功效,正面
23,_, , ,很好,2,4,整体,正面
23,物流,4,6,很快,6,8,物流,正面
24,_, , ,不错,2,4,整体,正面
24,_, , ,挺温和的,10,14,使用体验,正面
25,_, , ,好用,14,16,整体,正面
26,_, , ,不能用,1,4,整体,负面
27,防晒效果,15,19,很好,20,22,功效,正面
27,_, , ,很好用,0,3,整体,正面
28,_, , ,很好吸收,8,12,使用体验,正面
28,_, , ,不油腻,14,17,使用体验,正面
28,_, , ,很滋润,19,22,使用体验,正面
29,_, , ,差评,0,2,整体,负面
29,_, , ,发错货,8,11,物流,负面
30,补水效果,0,4,_, , ,功效,正面
31,_, , ,很好用,7,10,整体,正面
32,_, , ,喜欢,13,15,整体,正面
33,补水效果,2,6,很好,6,8,功效,正面
34,_, , ,太好了,4,7,整体,正面
35,防晒效果,12,16,很快成膜,19,23,功效,正面
36,_, , ,非常好用,9,13,整体,正面
36,_, , ,非常细腻,21,25,使用体验,正面
36,_, , ,非常清爽,31,35,使用体验,正面
36,_, , ,舒服,35,37,使用体验,正面
37,_, , ,还好,2,4,整体,正面
37,味道,27,29,还好,29,31,气味,正面
37,_, , ,挺好用的,41,45,整体,正面
38,_, , ,喜欢,13,15,整体,正面
38,_, , ,挺好用,0,3,整体,正面
39,_, , ,好用,0,2,整体,正面
39,_, , ,正品,3,5,真伪,正面
40,包装,0,2,细致,4,6,包装,正面
41,_, , ,还不错,2,5,整体,正面
41,_, , ,喜欢,6,8,整体,正面
42,盒子,7,9,没有,10,12,包装,负面
43,价格,0,2,很优惠,2,5,价格,正面
43,_, , ,特别好,8,11,整体,正面
44,优惠活动,0,4,_, , ,价格,正面
44,价格,4,6,不错,6,8,价格,正面
44,_, , ,有点掉毛,13,17,使用体验,负面
45,_, , ,惊喜,13,15,整体,正面
46,物流,6,8,超快,8,10,物流,正面
46,价格,11,13,相当实惠,13,17,价格,正面
46,_, , ,很好,29,31,整体,正面
46,_, , ,干净,32,34,功效,正面
47,_, , ,真心不好用,2,7,整体,负面
48,_, , ,挺不错,9,12,其他,正面
49,_, , ,很不错,18,21,整体,正面
